"","Student ID","Gender","First Generation Indicator","Term Code","Cum UG Crs GPA"
"201",8142104,"Female","Not First Generation College Stdnt","202310",4
"202",8142104,"Female","Not First Generation College Stdnt","202320",4
"203",8142104,"Female","Not First Generation College Stdnt","202410",4
"204",8142155,"Male","Not First Generation College Stdnt","202310",3.78
"205",8142155,"Male","Not First Generation College Stdnt","202320",3.9
"206",8142155,"Male","Not First Generation College Stdnt","202410",3.9
"207",8142374,"Female","Not First Generation College Stdnt","202310",3
"208",8142374,"Female","Not First Generation College Stdnt","202320",3.08
"209",8142374,"Female","Not First Generation College Stdnt","202410",3.08
"210",8142423,"Female","Not First Generation College Stdnt","202310",3.39
"211",8142423,"Female","Not First Generation College Stdnt","202320",2.96
"212",8142423,"Female","Not First Generation College Stdnt","202410",2.96
"213",8142526,"Male","Not First Generation College Stdnt","202310",2.97
"214",8142526,"Male","Not First Generation College Stdnt","202320",3.03
"215",8142526,"Male","Not First Generation College Stdnt","202410",3.03
"216",8142886,"Female","Not First Generation College Stdnt","202310",3.13
"217",8142886,"Female","Not First Generation College Stdnt","202320",3.37
"218",8142886,"Female","Not First Generation College Stdnt","202410",3.37
"219",8143418,"Male","Not First Generation College Stdnt","202310",3.26
"220",8143418,"Male","Not First Generation College Stdnt","202320",3.59
"221",8143418,"Male","Not First Generation College Stdnt","202410",3.59
"222",8143420,"Female","Not First Generation College Stdnt","202310",3.77
"223",8143420,"Female","Not First Generation College Stdnt","202320",3.86
"224",8143420,"Female","Not First Generation College Stdnt","202410",3.86
"225",8143472,"Male","Not First Generation College Stdnt","202310",2.86
"226",8143472,"Male","Not First Generation College Stdnt","202320",2.82
"227",8143472,"Male","Not First Generation College Stdnt","202410",2.82
"228",8143654,"Female","Not First Generation College Stdnt","202310",3.95
"229",8143654,"Female","Not First Generation College Stdnt","202320",3.98
"230",8143654,"Female","Not First Generation College Stdnt","202410",3.98
"231",8143798,"Male","First Generation College Stdnt","202310",2.63
"232",8143798,"Male","First Generation College Stdnt","202320",2.83
"233",8143798,"Male","First Generation College Stdnt","202410",2.83
"234",8143860,"Female","Not First Generation College Stdnt","202310",3.05
"235",8143860,"Female","Not First Generation College Stdnt","202320",2.69
"236",8143860,"Female","Not First Generation College Stdnt","202410",2.69
"237",8143934,"Male","Not First Generation College Stdnt","202310",3.71
"238",8143934,"Male","Not First Generation College Stdnt","202320",3.75
"239",8143934,"Male","Not First Generation College Stdnt","202410",3.75
"240",8143936,"Female","Not First Generation College Stdnt","202310",3.81
"241",8143936,"Female","Not First Generation College Stdnt","202320",3.84
"242",8143936,"Female","Not First Generation College Stdnt","202410",3.84
"243",8144647,"Female","Not First Generation College Stdnt","202310",0.24
"244",8144647,"Female","Not First Generation College Stdnt","202320",0.78
"245",8144914,"Male","Not First Generation College Stdnt","202310",3.58
"246",8144914,"Male","Not First Generation College Stdnt","202320",3.76
"247",8144914,"Male","Not First Generation College Stdnt","202410",3.76
"248",8144995,"Female","Not First Generation College Stdnt","202310",3.94
"249",8144995,"Female","Not First Generation College Stdnt","202320",3.95
"250",8144995,"Female","Not First Generation College Stdnt","202410",3.95
"251",8145502,"Male","Not First Generation College Stdnt","202310",3.61
"252",8145502,"Male","Not First Generation College Stdnt","202320",3.77
"253",8145508,"Male","Not First Generation College Stdnt","202310",3.74
"254",8145508,"Male","Not First Generation College Stdnt","202320",3.48
"255",8145508,"Male","Not First Generation College Stdnt","202410",3.48
"256",8145611,"Female","Not First Generation College Stdnt","202310",3.9
"257",8145611,"Female","Not First Generation College Stdnt","202320",3.89
"258",8145611,"Female","Not First Generation College Stdnt","202410",3.89
"259",8145766,"Male","Not First Generation College Stdnt","202310",3.73
"260",8145766,"Male","Not First Generation College Stdnt","202320",3.76
"261",8145766,"Male","Not First Generation College Stdnt","202410",3.76
"262",8145786,"Female","Not First Generation College Stdnt","202310",4
"263",8145786,"Female","Not First Generation College Stdnt","202320",3.65
"264",8145786,"Female","Not First Generation College Stdnt","202410",3.65
"265",8146057,"Male","Not First Generation College Stdnt","202310",3.44
"266",8146057,"Male","Not First Generation College Stdnt","202320",3.35
"267",8146057,"Male","Not First Generation College Stdnt","202410",3.35
"268",8146069,"Male","Not First Generation College Stdnt","202310",3.85
"269",8146069,"Male","Not First Generation College Stdnt","202320",3.71
"270",8146069,"Male","Not First Generation College Stdnt","202410",3.71
"271",8146177,"Male","Not First Generation College Stdnt","202310",NA
"272",8146177,"Male","Not First Generation College Stdnt","202320",2.42
"273",8146225,"Male","Not First Generation College Stdnt","202410",NA
"274",8146244,"Female","Not First Generation College Stdnt","202310",3.92
"275",8146244,"Female","Not First Generation College Stdnt","202320",3.96
"276",8146244,"Female","Not First Generation College Stdnt","202410",3.96
"277",8146525,"Male","Not First Generation College Stdnt","202310",3.06
"278",8146525,"Male","Not First Generation College Stdnt","202320",2.89
"279",8146525,"Male","Not First Generation College Stdnt","202410",2.89
"280",8146560,"Male","Not First Generation College Stdnt","202310",2.72
"281",8146560,"Male","Not First Generation College Stdnt","202320",2.77
"282",8146560,"Male","Not First Generation College Stdnt","202410",2.77
"283",8146723,"Male","Not First Generation College Stdnt","202310",3.27
"284",8146723,"Male","Not First Generation College Stdnt","202320",3.18
"285",8146723,"Male","Not First Generation College Stdnt","202410",3.18
"286",8146892,"Female","Not First Generation College Stdnt","202310",3.55
"287",8146892,"Female","Not First Generation College Stdnt","202320",3.34
"288",8146892,"Female","Not First Generation College Stdnt","202410",3.34
"289",8147079,"Female","Not First Generation College Stdnt","202310",2.66
"290",8147079,"Female","Not First Generation College Stdnt","202320",3.03
"291",8147079,"Female","Not First Generation College Stdnt","202410",2.99
