"","Student ID","Cohort Term","Term Code","Enrolled Student Count","Major 1","Major 2","Major 3"
"142",8129435,"202310","202410",1,"BA Major",NA,NA
"143",8129482,"202310","202310",1,"BA Major",NA,NA
"144",8129482,"202310","202320",1,"BA Major",NA,NA
"145",8129482,"202310","202410",1,"BA Major",NA,NA
"146",8129662,"202310","202310",1,"BA Major",NA,NA
"147",8129662,"202310","202320",1,"BA Major",NA,NA
"148",8129662,"202310","202410",1,"BA Major",NA,NA
"149",8130203,"202310","202310",1,"Undeclared - Business",NA,NA
"150",8130203,"202310","202320",1,"Supply Chain & Operations Mgmt",NA,NA
"151",8130203,"202310","202410",1,"Supply Chain & Operations Mgmt",NA,NA
"152",8131023,"202310","202310",1,"BA Major",NA,NA
"153",8131023,"202310","202320",1,"BA Major",NA,NA
"154",8131023,"202310","202410",1,"BA Major",NA,NA
"155",8132465,"202310","202310",1,"Undeclared - Business",NA,NA
"156",8132465,"202310","202320",1,"Undeclared - Business",NA,NA
"157",8132465,"202310","202410",1,"BA Major",NA,NA
"158",8132582,"202410","202310",1,"CAS",NA,NA
"159",8132582,"202410","202320",1,"CAS",NA,NA
"160",8132582,"202410","202410",1,"CAS",NA,NA
"161",8132721,"202310","202310",1,"Undeclared - Business",NA,NA
"162",8132721,"202310","202320",1,"BA Major",NA,NA
"163",8132721,"202310","202410",1,"BA Major",NA,NA
"164",8132821,"202310","202310",1,"BA Major",NA,NA
"165",8132821,"202310","202320",1,"Information&Cybersec Mgt",NA,NA
"166",8132821,"202310","202410",1,"Information&Cybersec Mgt",NA,NA
"167",8132915,"202310","202310",1,"BA Major",NA,NA
"168",8132915,"202310","202320",1,"BA Major",NA,NA
"169",8132915,"202310","202410",1,"BA Major",NA,NA
"170",8134173,"202310","202310",1,"BA Major",NA,NA
"171",8134173,"202310","202320",1,"BA Major",NA,NA
"172",8134369,"202310","202310",1,"BA Major",NA,NA
"173",8134369,"202310","202320",1,"BA Major",NA,NA
"174",8134369,"202310","202410",1,"BA Major",NA,NA
"175",8135649,"202310","202310",1,"BA Major",NA,NA
"176",8135649,"202310","202320",1,"Marketing",NA,NA
"177",8135649,"202310","202410",1,"Marketing",NA,NA
"178",8136937,"202310","202310",1,"Finance",NA,NA
"179",8136937,"202310","202320",1,"Finance",NA,NA
"180",8136937,"202310","202410",1,"Finance",NA,NA
"181",8137090,"202310","202310",1,"BA Major",NA,NA
"182",8137090,"202310","202320",1,"BA Major",NA,NA
"183",8137163,"202310","202310",1,"BA Major",NA,NA
"184",8137163,"202310","202320",1,"BA Major",NA,NA
"185",8137163,"202310","202410",1,"BA Major",NA,NA
"186",8137272,"202310","202310",1,"Finance",NA,NA
"187",8137272,"202310","202320",1,"Finance",NA,NA
"188",8137272,"202310","202410",1,"Finance",NA,NA
"189",8137508,"202310","202310",1,"BA Major",NA,NA
"190",8137508,"202310","202320",1,"BA Major",NA,NA
"191",8137508,"202310","202410",1,"BA Major",NA,NA
"192",8137586,"202310","202310",1,"BA Major",NA,NA
"193",8137586,"202310","202320",1,"BA Major",NA,NA
"194",8137586,"202310","202410",1,"BA Major",NA,NA
"195",8137586,"202310","202420",1,"BA Major",NA,NA
"196",8137656,"202310","202310",1,"Finance",NA,NA
"197",8137656,"202310","202320",1,"Finance",NA,NA
"198",8137656,"202310","202410",1,"Finance",NA,NA
"199",8139377,"202310","202310",1,"BA Major",NA,NA
"200",8139377,"202310","202320",1,"CAS",NA,NA
"201",8139377,"202310","202410",1,"CAS",NA,NA
"202",8139622,"202310","202310",1,"BA Major",NA,NA
"203",8140899,"202310","202310",1,"CAS","CCA",NA
"204",8140899,"202310","202320",1,"CAS","CCA",NA
"205",8140899,"202310","202410",1,"CAS","CCA",NA
"206",8141118,"202310","202310",1,"Undeclared - Business",NA,NA
"207",8141118,"202310","202320",1,"BA Major",NA,NA
"208",8141118,"202310","202410",1,"BA Major",NA,NA
"209",8141118,"202310","202420",1,"BA Major",NA,NA
"210",8141125,"202310","202310",1,"Undeclared - Business",NA,NA
"211",8141125,"202310","202320",1,"Finance",NA,NA
"212",8141125,"202310","202410",1,"Finance",NA,NA
"213",8141468,"202310","202310",1,"BA Major",NA,NA
"214",8141468,"202310","202320",1,"BA Major",NA,NA
"215",8141468,"202310","202410",1,"BA Major",NA,NA
"216",8141755,"202310","202310",1,"BA Major",NA,NA
"217",8141755,"202310","202320",1,"BA Major",NA,NA
"218",8141755,"202310","202410",1,"BA Major",NA,NA
"219",8141853,"202310","202310",1,"CAS",NA,NA
"220",8141853,"202310","202320",1,"CAS",NA,NA
"221",8141853,"202310","202410",1,"CAS",NA,NA
"222",8142104,"202310","202310",1,"Undeclared - Business",NA,NA
"223",8142104,"202310","202320",1,"Finance",NA,NA
"224",8142104,"202310","202410",1,"Finance",NA,NA
"225",8142155,"202310","202310",1,"BA Major",NA,NA
"226",8142155,"202310","202320",1,"BA Major",NA,NA
"227",8142155,"202310","202410",1,"BA Major",NA,NA
"228",8142374,"202310","202310",1,"BA Major",NA,NA
"229",8142374,"202310","202320",1,"BA Major",NA,NA
"230",8142374,"202310","202410",1,"BA Major",NA,NA
"231",8142423,"202310","202310",1,"BA Major",NA,NA
"232",8142423,"202310","202320",1,"BA Major",NA,NA
"233",8142423,"202310","202410",1,"BA Major",NA,NA
"234",8142526,"202310","202310",1,"BA Major",NA,NA
"235",8142526,"202310","202320",1,"BA Major",NA,NA
"236",8142526,"202310","202410",1,"BA Major",NA,NA
"237",8142886,"202310","202310",1,"BA Major",NA,NA
"238",8142886,"202310","202320",1,"BA Major",NA,NA
"239",8142886,"202310","202410",1,"BA Major",NA,NA
"240",8143418,"202310","202310",1,"BA Major",NA,NA
"241",8143418,"202310","202320",1,"BA Major",NA,NA
"242",8143418,"202310","202410",1,"BA Major",NA,NA
"243",8143420,"202310","202310",1,"BA Major",NA,NA
"244",8143420,"202310","202320",1,"BA Major","CEC",NA
"245",8143420,"202310","202410",1,"BA Major","CEC",NA
"246",8143420,"202310","202420",1,"BA Major","CEC",NA
"247",8143472,"202310","202310",1,"BA Major",NA,NA
"248",8143472,"202310","202320",1,"BA Major",NA,NA
"249",8143472,"202310","202410",1,"BA Major",NA,NA
"250",8143654,"202310","202310",1,"BA Major",NA,NA
"251",8143654,"202310","202320",1,"BA Major",NA,NA
"252",8143654,"202310","202410",1,"CAS",NA,NA
"253",8143798,"202310","202310",1,"BA Major",NA,NA
"254",8143798,"202310","202320",1,"BA Major",NA,NA
"255",8143798,"202310","202410",1,"BA Major",NA,NA
"256",8143860,"202310","202310",1,"Accountancy",NA,NA
"257",8143860,"202310","202320",1,"BA Major",NA,NA
"258",8143860,"202310","202410",1,"BA Major",NA,NA
"259",8143934,"202310","202310",1,"BA Major",NA,NA
"260",8143934,"202310","202320",1,"BA Major",NA,NA
"261",8143934,"202310","202410",1,"BA Major",NA,NA
"262",8143936,"202310","202310",1,"Finance",NA,NA
"263",8143936,"202310","202320",1,"Finance",NA,NA
"264",8143936,"202310","202410",1,"BA Major",NA,NA
"265",8144647,"202310","202310",1,"BA Major",NA,NA
"266",8144647,"202310","202320",1,"EHS",NA,NA
"267",8144914,"202310","202310",1,"Finance",NA,NA
"268",8144914,"202310","202320",1,"Finance",NA,NA
"269",8144914,"202310","202410",1,"BA Major","Finance",NA
"270",8144995,"202310","202310",1,"BA Major",NA,NA
"271",8144995,"202310","202320",1,"BA Major","CAS",NA
"272",8144995,"202310","202410",1,"BA Major","CAS",NA
"273",8145502,"202310","202310",1,"BA Major",NA,NA
"274",8145502,"202310","202320",1,"BA Major",NA,NA
"275",8145508,"202310","202310",1,"BA Major",NA,NA
"276",8145508,"202310","202320",1,"Marketing",NA,NA
"277",8145508,"202310","202410",1,"Supply Chain & Operations Mgmt",NA,NA
"278",8145611,"202310","202310",1,"BA Major",NA,NA
"279",8145611,"202310","202320",1,"BA Major",NA,NA
"280",8145611,"202310","202410",1,"BA Major",NA,NA
"281",8145766,"202310","202310",1,"BA Major",NA,NA
"282",8145766,"202310","202320",1,"BA Major",NA,NA
"283",8145766,"202310","202410",1,"BA Major",NA,NA
"284",8145786,"202310","202310",1,"BA Major",NA,NA
"285",8145786,"202310","202320",1,"CAS",NA,NA
"286",8145786,"202310","202410",1,"CAS",NA,NA
"287",8146057,"202310","202310",1,"BA Major",NA,NA
"288",8146057,"202310","202320",1,"BA Major",NA,NA
"289",8146057,"202310","202410",1,"BA Major",NA,NA
"290",8146069,"202310","202310",1,"Supply Chain & Operations Mgmt",NA,NA
"291",8146069,"202310","202320",1,"Human Capital Mgmt& Leadership",NA,NA
"292",8146069,"202310","202410",1,"Human Capital Mgmt& Leadership",NA,NA
"293",8146177,"202310","202310",1,"BA Major",NA,NA
"294",8146177,"202310","202320",1,"BA Major",NA,NA
"295",8146225,"202410","202410",1,"BA Major",NA,NA
"296",8146244,"202310","202310",1,"BA Major",NA,NA
"297",8146244,"202310","202320",1,"BA Major",NA,NA
"298",8146244,"202310","202410",1,"BA Major",NA,NA
"299",8146525,"202310","202310",1,"Marketing",NA,NA
"300",8146525,"202310","202320",1,"BA Major",NA,NA
"301",8146525,"202310","202410",1,"BA Major",NA,NA
"302",8146560,"202310","202310",1,"BA Major",NA,NA
"303",8146560,"202310","202320",1,"BA Major",NA,NA
"304",8146560,"202310","202410",1,"BA Major",NA,NA
"305",8146723,"202310","202310",1,"BA Major",NA,NA
"306",8146723,"202310","202320",1,"BA Major",NA,NA
"307",8146723,"202310","202410",1,"BA Major",NA,NA
"308",8146892,"202310","202310",1,"Undeclared - Business",NA,NA
"309",8146892,"202310","202320",1,"Marketing",NA,NA
"310",8146892,"202310","202410",1,"Marketing",NA,NA
"311",8147079,"202310","202310",1,"CAS",NA,NA
"312",8147079,"202310","202320",1,"CAS",NA,NA
"313",8147079,"202310","202410",1,"CCA",NA,NA
"314",8147231,"202310","202310",1,"Marketing",NA,NA
"315",8147231,"202310","202320",1,"Marketing",NA,NA
"316",8147231,"202310","202410",1,"BA Major","Information&Cybersec Mgt",NA
"317",8147313,"202310","202310",1,"Finance",NA,NA
"318",8147313,"202310","202320",1,"Finance",NA,NA
"319",8147313,"202310","202410",1,"Finance",NA,NA
"320",8147335,"202310","202310",1,"BA Major",NA,NA
"321",8147335,"202310","202320",1,"BA Major",NA,NA
"322",8147335,"202310","202410",1,"BA Major",NA,NA
"323",8147369,"202310","202310",1,"Marketing",NA,NA
"324",8147369,"202310","202320",1,"BA Major",NA,NA
"325",8147369,"202310","202410",1,"BA Major",NA,NA
"326",8147431,"202310","202310",1,"BA Major",NA,NA
"327",8147431,"202310","202320",1,"BA Major",NA,NA
"328",8147431,"202310","202410",1,"BA Major",NA,NA
"329",8147458,"202310","202310",1,"BA Major",NA,NA
"330",8147458,"202310","202320",1,"BA Major",NA,NA
"331",8147458,"202310","202410",1,"BA Major",NA,NA
"332",8147889,"202310","202310",1,"BA Major","CEC",NA
"333",8147889,"202310","202320",1,"BA Major","CEC",NA
"334",8147889,"202310","202410",1,"BA Major","CEC",NA
"335",8147973,"202310","202310",1,"BA Major",NA,NA
"336",8147973,"202310","202320",1,"Finance",NA,NA
"337",8147973,"202310","202410",1,"Finance",NA,NA
"338",8148045,"202310","202310",1,"BA Major",NA,NA
"339",8148045,"202310","202320",1,"BA Major",NA,NA
"340",8148045,"202310","202410",1,"BA Major",NA,NA
"341",8148167,"202310","202310",1,"Accountancy",NA,NA
"342",8148167,"202310","202320",1,"Accountancy",NA,NA
"343",8148167,"202310","202410",1,"BA Major",NA,NA
"344",8148469,"202310","202310",1,"BA Major",NA,NA
"345",8148469,"202310","202320",1,"BA Major",NA,NA
"346",8148469,"202310","202410",1,"BA Major",NA,NA
"347",8148923,"202310","202310",1,"Accountancy",NA,NA
"348",8148923,"202310","202320",1,"Accountancy",NA,NA
"349",8148923,"202310","202410",1,"Accountancy","BA Major",NA
"350",8149274,"202310","202310",1,"Business Economics",NA,NA
"351",8149274,"202310","202320",1,"BA Major",NA,NA
"352",8149274,"202310","202410",1,"BA Major",NA,NA
"353",8149335,"202310","202310",1,"Business Economics",NA,NA
"354",8149335,"202310","202320",1,"BA Major",NA,NA
"355",8149335,"202310","202410",1,"BA Major",NA,NA
"356",8149556,"202310","202310",1,"Accountancy",NA,NA
"357",8149556,"202310","202320",1,"Accountancy",NA,NA
"358",8149556,"202310","202410",1,"Accountancy","BA Major",NA
"359",8149556,"202310","202420",1,"Accountancy","BA Major",NA
"360",8150667,"202310","202310",1,"Marketing",NA,NA
"361",8150667,"202310","202320",1,"Marketing",NA,NA
"362",8150667,"202310","202410",1,"Marketing",NA,NA
"363",8150970,"202310","202310",1,"BA Major",NA,NA
"364",8150970,"202310","202320",1,"BA Major",NA,NA
"365",8150970,"202310","202410",1,"BA Major",NA,NA
"366",8151012,"202310","202310",1,"Undeclared - Business",NA,NA
"367",8151012,"202310","202320",1,"Undeclared - Business",NA,NA
"368",8151012,"202310","202410",1,"BA Major",NA,NA
"369",8151086,"202310","202310",1,"Business Economics",NA,NA
"370",8151086,"202310","202320",1,"Business Economics",NA,NA
"371",8151086,"202310","202410",1,"BA Major",NA,NA
"372",8151107,"202310","202310",1,"BA Major",NA,NA
"373",8151107,"202310","202320",1,"BA Major",NA,NA
"374",8151107,"202310","202410",1,"BA Major",NA,NA
"375",8151305,"202310","202310",1,"BA Major",NA,NA
"376",8151305,"202310","202320",1,"BA Major",NA,NA
"377",8151305,"202310","202410",1,"BA Major",NA,NA
"378",8151587,"202310","202310",1,"BA Major",NA,NA
"379",8151587,"202310","202320",1,"BA Major",NA,NA
"380",8151587,"202310","202410",1,"BA Major",NA,NA
"381",8151654,"202310","202310",1,"BA Major",NA,NA
"382",8151654,"202310","202320",1,"BA Major",NA,NA
"383",8151654,"202310","202410",1,"BA Major",NA,NA
"384",8152069,"202310","202310",1,"BA Major",NA,NA
"385",8152069,"202310","202320",1,"BA Major",NA,NA
"386",8152069,"202310","202410",1,"Marketing",NA,NA
"387",8152178,"202310","202310",1,"CAS",NA,NA
"388",8152178,"202310","202320",1,"CAS",NA,NA
"389",8152178,"202310","202410",1,"CAS",NA,NA
"390",8152289,"202310","202310",1,"BA Major",NA,NA
"391",8152289,"202310","202320",1,"BA Major",NA,NA
"392",8152289,"202310","202410",1,"BA Major",NA,NA
"393",8152321,"202310","202310",1,"BA Major",NA,NA
"394",8152321,"202310","202320",1,"BA Major",NA,NA
"395",8152321,"202310","202410",1,"Finance",NA,NA
"396",8152325,"202310","202310",1,"Accountancy",NA,NA
"397",8152325,"202310","202320",1,"Accountancy",NA,NA
"398",8152325,"202310","202410",1,"Accountancy",NA,NA
"399",8152659,"202310","202310",1,"BA Major",NA,NA
"400",8152659,"202310","202320",1,"BA Major",NA,NA
"401",8152659,"202310","202410",1,"BA Major",NA,NA
"402",8152713,"202310","202310",1,"Undeclared - Business",NA,NA
"403",8152713,"202310","202320",1,"Undeclared - Business",NA,NA
"404",8152713,"202310","202410",1,"Finance",NA,NA
"405",8153312,"202310","202310",1,"Business Economics",NA,NA
"406",8153312,"202310","202320",1,"Business Economics",NA,NA
"407",8153312,"202310","202410",1,"Accountancy","Finance",NA
"408",8153342,"202310","202310",1,"BA Major",NA,NA
"409",8153342,"202310","202320",1,"BA Major",NA,NA
"410",8153342,"202310","202410",1,"BA Major",NA,NA
"411",8153377,"202310","202310",1,"BA Major",NA,NA
"412",8153377,"202310","202320",1,"BA Major",NA,NA
"413",8153377,"202310","202410",1,"BA Major",NA,NA
"414",8153499,"202310","202310",1,"Finance",NA,NA
"415",8153499,"202310","202320",1,"Finance",NA,NA
"416",8153499,"202310","202410",1,"Finance",NA,NA
"417",8153499,"202310","202420",1,"Finance",NA,NA
"418",8153542,"202310","202310",1,"CCA","Finance",NA
"419",8153542,"202310","202320",1,"BA Major","CCA",NA
"420",8153542,"202310","202410",1,"BA Major",NA,NA
"421",8154129,"202310","202310",1,"Human Capital Mgmt& Leadership",NA,NA
"422",8154129,"202310","202320",1,"Human Capital Mgmt& Leadership",NA,NA
"423",8154129,"202310","202410",1,"Human Capital Mgmt& Leadership",NA,NA
"424",8154129,"202310","202420",1,"Human Capital Mgmt& Leadership",NA,NA
"425",8154142,"202310","202310",1,"BA Major",NA,NA
"426",8154142,"202310","202320",1,"BA Major",NA,NA
"427",8154142,"202310","202410",1,"BA Major",NA,NA
"428",8154259,"202310","202310",1,"BA Major",NA,NA
"429",8154259,"202310","202320",1,"BA Major",NA,NA
"430",8154259,"202310","202410",1,"BA Major",NA,NA
"431",8154315,"202310","202310",1,"BA Major",NA,NA
"432",8154315,"202310","202320",1,"BA Major",NA,NA
"433",8154315,"202310","202410",1,"BA Major",NA,NA
"434",8154337,"202310","202310",1,"Undeclared - Business",NA,NA
"435",8154337,"202310","202320",1,"Undeclared - Business",NA,NA
"436",8154337,"202310","202410",1,"BA Major",NA,NA
"437",8160801,"202310","202310",1,"Marketing",NA,NA
"438",8160801,"202310","202320",1,"Marketing",NA,NA
"439",8160801,"202310","202410",1,"Marketing",NA,NA
"440",8160820,"202310","202310",1,"BA Major",NA,NA
"441",8160820,"202310","202320",1,"BA Major",NA,NA
"442",8160820,"202310","202410",1,"BA Major",NA,NA
"443",8160972,"202310","202310",1,"Undeclared - Business",NA,NA
"444",8160972,"202310","202320",1,"Supply Chain & Operations Mgmt",NA,NA
"445",8160972,"202310","202410",1,"Supply Chain & Operations Mgmt",NA,NA
"446",8161157,"202310","202310",1,"BA Major",NA,NA
"447",8161157,"202310","202320",1,"BA Major",NA,NA
"448",8161157,"202310","202410",1,"BA Major",NA,NA
"449",8161399,"202310","202310",1,"BA Major",NA,NA
"450",8161399,"202310","202320",1,"BA Major",NA,NA
"451",8161399,"202310","202410",1,"BA Major",NA,NA
"452",8161439,"202310","202310",1,"BA Major",NA,NA
"453",8161439,"202310","202320",1,"BA Major",NA,NA
"454",8161439,"202310","202410",1,"BA Major",NA,NA
"455",8161724,"202310","202310",1,"Business Economics",NA,NA
"456",8161724,"202310","202320",1,"BA Major",NA,NA
"457",8161724,"202310","202410",1,"BA Major",NA,NA
"458",8161724,"202310","202420",1,"BA Major",NA,NA
"459",8161896,"202310","202310",1,"Business Economics",NA,NA
"460",8161896,"202310","202320",1,"Business Economics",NA,NA
"461",8161896,"202310","202410",1,"Business Economics",NA,NA
"462",8161990,"202310","202310",1,"BA Major",NA,NA
"463",8161990,"202310","202320",1,"BA Major",NA,NA
"464",8161990,"202310","202410",1,"BA Major",NA,NA
"465",8162281,"202310","202310",1,"BA Major",NA,NA
"466",8162281,"202310","202320",1,"BA Major",NA,NA
"467",8162281,"202310","202410",1,"Business Economics",NA,NA
"468",8162853,"202310","202310",1,"Undeclared - Business",NA,NA
"469",8162853,"202310","202320",1,"Undeclared - Business",NA,NA
"470",8162853,"202310","202410",1,"BA Major",NA,NA
"471",8162906,"202310","202310",1,"BA Major",NA,NA
"472",8162906,"202310","202320",1,"BA Major",NA,NA
"473",8162906,"202310","202410",1,"BA Major",NA,NA
"474",8162918,"202310","202310",1,"CAS",NA,NA
"475",8162918,"202310","202320",1,"CAS",NA,NA
"476",8162918,"202310","202410",1,"CAS",NA,NA
"477",8162961,"202310","202310",1,"Undeclared - Business",NA,NA
"478",8162961,"202310","202320",1,"Accountancy",NA,NA
"479",8162961,"202310","202410",1,"Accountancy",NA,NA
"480",8163008,"202310","202310",1,"Finance",NA,NA
"481",8163008,"202310","202320",1,"Finance",NA,NA
"482",8163008,"202310","202410",1,"Finance",NA,NA
"483",8163102,"202310","202310",1,"Accountancy",NA,NA
"484",8163102,"202310","202320",1,"Accountancy",NA,NA
"485",8163102,"202310","202410",1,"Accountancy",NA,NA
"486",8163147,"202310","202310",1,"BA Major",NA,NA
